date;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;cat_ddd;category_region;flood
20/06/2017;24;32,4;27,4;76;0,4;3,9;4;90;4;3;1;0
27/06/2017;24;33,4;26,8;83;13,8;5,1;4;60;1;2;1;0
30/06/2017;24;30,6;26,1;88;5,8;1,6;3;180;4;5;1;0
01/07/2017;23;33;27,3;77;13,9;7,3;3;6;5;3;1;0
08/07/2017;24;32,6;27,7;78;28;4,8;2;280;3;8;1;0
10/07/2017;24;32,6;26,6;88;36;5;3;270;4;8;1;1
12/07/2017;23;31,6;26,8;84;18,6;3,8;4;180;3;8;1;0
13/07/2017;24;32,6;27,8;78;0,1;1,4;3;60;3;1;1;0
21/07/2017;23;33;27,6;82;9,5;5,5;3;190;4;5;1;0
22/07/2017;22;33,8;28,3;78;1,2;5,8;3;0;5;1;1;0
25/07/2017;25;34;28,1;70;0,8;7,4;4;170;3;5;1;0
30/07/2017;24;34,2;27,5;82;17;5,9;3;140;3;5;1;0
31/07/2017;24;34,2;28,2;81;5;4,3;3;140;3;6;1;0
10/08/2017;24;33,8;27,2;81;4,5;3;3;200;3;8;1;0
11/08/2017;24;33,6;28;78;0,5;4,7;3;140;4;6;1;0
15/08/2017;24;32,8;27,7;74;6;3,6;3;140;3;5;1;0
16/08/2017;24;33,4;27,8;61;0,8;7,2;3;180;4;5;1;0
30/08/2017;23;33,6;27,2;80;4;7,5;3;80;4;6;1;0
01/09/2017;24;33,8;28,6;67;0;5;3;170;4;5;1;0
03/09/2017;24;34,6;28,6;66;0;7;4;30;2;3;1;0
06/09/2017;24;34;27;83;57,3;4,8;3;90;2;8;1;0
11/09/2017;24;33,6;28,3;76;10,5;6,2;3;190;4;5;1;0
20/09/2017;24;33,8;28,3;72;64;6,2;3;180;6;5;1;0
21/09/2017;24;33;27,8;74;1,2;7,1;3;170;4;5;1;0
26/09/2017;24;32,8;28,3;78;8,5;1,1;3;80;4;1;1;0
27/09/2017;23;27,4;24,9;92;33;0;3;180;3;5;1;1
28/09/2017;23;32,4;27,7;84;17,2;4,7;4;80;4;1;1;0
29/09/2017;25;32,8;27,8;84;5,1;2,5;4;130;6;6;1;0
30/09/2017;25;32,8;28,5;78;15;4,1;3;280;5;8;1;0
01/10/2017;25;34;27,5;82;0;3,5;4;100;4;1;1;0
02/10/2017;23;32,4;27,6;84;14,5;2,5;3;120;4;6;1;0
03/10/2017;24;32,4;27,1;84;17,3;2,5;3;0;0;8;1;0
04/10/2017;23;33;27,7;81;30,5;5,8;3;70;16;3;1;0
05/10/2017;25;34;28,8;72;0;6,7;4;70;5;1;1;0
06/10/2017;23;34;29,6;76;0;5,8;4;90;5;1;1;0
07/10/2017;25;34,8;28,6;71;0;5,5;4;180;5;5;1;0
08/10/2017;25;34;29,1;74;0,2;5;4;90;5;1;1;0
09/10/2017;26;30,6;25,9;87;0;0,4;3;80;5;3;1;1
